smiles,性质分类,性质名,值,单位
*CCc1ccc(*)o1,热力学性质,Tg,298.65,K
*CCc1ccc(*)o1,光学性质,band gap chain,4.9056,eV
*OC(F)(F)C(*)(F)F,热力学性质,Tg,225.15,K
*OC(F)(F)C(*)(F)F,光学性质,band gap chain,9.8627,eV
*OC(F)(F)C(*)(F)F,光学性质,band gap bulk,10.1137,eV
*c1[nH]c(*)c(OC)c1OC,热力学性质,Tg,247.15,K
*c1[nH]c(*)c(OC)c1OC,光学性质,band gap chain,2.5591,eV
*c1ccc(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)cc1,热力学性质,Tg,690.15,K
*c1ccc(-n2c(=O)c3cc4c(=O)n(*)c(=O)c4cc3c2=O)cc1,光学性质,band gap chain,2.8625,eV
Cc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)cc1,热力学性质,Tg,606.15,K
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)CC(=O)N(*)C4=S)cc3)cc2)cc1,热力学性质,Tg,430.15,K
*c1ccc(Oc2ccc(Oc3ccc(N4C(=O)CC(=O)N(*)C4=S)cc3)cc2)cc1,光学性质,band gap chain,3.1515,eV
*OC(CC)CC(=O)OC(C)CC(*)=O,热力学性质,Tg,256.75,K
*CC(*)C#C,热力学性质,Tg,393.0,K
Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(C(C)(C)c6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,热力学性质,Tg,488.15,K
*OC1C(COC(C)=O)OC(OC2C(COC(C)=O)OC(*)C(OC(=O)CCC)C2O)C(O)C1OC(=O)CCC,热力学性质,Tg,396.15,K
*CCC1CC(*)C2CCCC12,热力学性质,Tg,374.15,K
*CCC1CC(*)C2CCCC12,结构性质,crystallization tendency,23.26,%
