fragment_id,fragment_name,category,core_status,active_core,priority,suppression_mode,raw_substruct_period_hits,raw_substruct_source_hits,raw_substruct_match_total,raw_substruct_max_per_period,normalized_period_hits,normalized_source_hits,normalized_match_total,normalized_max_per_period,resolved_period_hits,resolved_source_hits,resolved_match_total,resolved_max_per_period
fragment_001,amide,functional_group,core,1,40,drop_if_core_atoms_covered_by_higher_priority,27559,3934,124626,18,27559,3934,79308,10,16600,2396,30312,8
fragment_002,imide,functional_group,core,1,70,,11348,1993,21357,6,11348,1993,21309,4,11348,1993,21309,4
fragment_003,ester,functional_group,core,1,50,drop_if_anchor_covered_by_higher_priority,21707,3455,44034,8,21707,3455,41952,8,18291,3435,34707,8
fragment_004,ether,functional_group,core,1,30,,23780,4113,48102,24,23780,4113,48102,24,23780,4113,48102,24
fragment_005,carbonate,functional_group,core,1,70,,1428,283,2082,3,1428,283,2082,3,1428,283,2082,3
fragment_006,urethane,functional_group,core,1,70,,3027,315,5291,6,3027,315,5163,4,3027,315,5163,4
fragment_007,urea,functional_group,core,1,70,,1117,143,2465,8,1117,143,1762,3,1117,143,1762,3
fragment_008,thioether,functional_group,core,1,50,,1771,343,2656,7,1771,343,2656,7,1771,343,2656,7
fragment_009,sulfone,functional_group,core,1,80,,3233,586,3883,3,3233,586,3883,3,3233,586,3883,3
fragment_010,sulfoxide,functional_group,core,1,70,,30,9,30,1,30,9,30,1,30,9,30,1
fragment_011,nitrile,functional_group,core,1,50,,1789,368,3279,11,1789,368,3279,11,1789,368,3279,11
fragment_012,hydroxyl,functional_group,core,1,30,drop_if_anchor_covered_by_higher_priority,1958,472,3553,8,1958,472,3553,8,1740,414,3216,8
fragment_013,amine,functional_group,core,1,35,drop_if_anchor_covered_by_higher_priority,30741,4627,120912,18,7085,2948,9948,6,2907,623,4562,4
fragment_014,carbonyl,functional_group,core,1,20,drop_if_anchor_covered_by_higher_priority,44227,7085,129167,19,44227,7085,129167,19,10045,4248,12733,19
fragment_015,carboxylic_acid,functional_group,core,1,75,,226,63,337,2,226,63,337,2,226,63,337,2
fragment_016,four_membered_ring,ring_structure,core,1,60,,187,62,194,2,187,62,194,2,187,62,194,2
fragment_017,five_membered_aromatic_ring,aromatic_ring,core,1,50,,6299,1437,10013,6,6299,1437,10013,6,6299,1437,10013,6
fragment_018,five_membered_not_fully_aromatic_ring,ring_structure,core,1,50,,14117,2632,26410,9,14117,2632,26410,9,14117,2632,26410,9
fragment_019,six_membered_aromatic_ring,aromatic_ring,core,1,50,,41477,7557,161612,20,41477,7557,161612,20,41477,7557,161612,20
fragment_020,six_membered_not_fully_aromatic_ring,ring_structure,core,1,50,,3892,830,5788,8,3892,830,5788,8,3892,830,5788,8
fragment_021,vinylene_linkage,mainchain_linker,core,1,50,,3001,530,4243,4,3001,530,4240,4,3001,530,4240,4
fragment_022,ethynylene_linkage,mainchain_linker,core,1,50,,509,82,955,6,509,82,955,6,509,82,955,6
fragment_023,secondary_amine_linker,linker,core,1,60,,20794,2560,42737,8,4426,2446,5387,6,4426,2446,5387,6
fragment_024,azo_linker,linker,core,1,50,,1719,282,2167,3,1719,282,2167,3,1719,282,2167,3
fragment_025,halogen_substituent,side_group,core,1,40,drop_if_core_atoms_covered_by_higher_priority,6461,1659,40627,36,6461,1659,40627,36,3214,959,16468,36
fragment_026,trifluoromethyl,side_group,core,1,80,,3888,909,22840,18,3620,785,8053,9,3620,785,8053,9
fragment_027,methyl,side_group,derived_attribute,0,50,,18204,3764,79206,36,18204,3764,40768,18,0,0,0,0
