fragment_id,fragment_name,category,core_status,active_core,priority,suppression_mode,raw_substruct_period_hits,raw_substruct_source_hits,raw_substruct_match_total,raw_substruct_max_per_period,normalized_period_hits,normalized_source_hits,normalized_match_total,normalized_max_per_period,resolved_period_hits,resolved_source_hits,resolved_match_total,resolved_max_per_period
fragment_001,amide,functional_group,core,1,40,drop_if_core_atoms_covered_by_higher_priority,27567,3939,81081,12,27567,3939,81081,12,16607,2400,30321,8
fragment_002,imide,functional_group,core,1,70,,11348,1993,21357,6,11348,1993,21309,4,11348,1993,21309,4
fragment_003,ester,functional_group,core,1,50,drop_if_anchor_covered_by_higher_priority,21707,3455,44034,8,21707,3455,41952,8,18291,3435,34707,8
fragment_004,ether,functional_group,core,1,30,,27221,5890,59025,24,27221,5890,59025,24,27221,5890,59025,24
fragment_005,carbonate,functional_group,core,1,70,,1428,283,2082,3,1428,283,2082,3,1428,283,2082,3
fragment_006,urethane,functional_group,core,1,70,,3027,315,5163,4,3027,315,5163,4,3027,315,5163,4
fragment_007,urea,functional_group,core,1,70,,1118,144,1763,3,1118,144,1763,3,1118,144,1763,3
fragment_008,thioether,functional_group,core,1,50,,2025,394,3157,7,2025,394,3157,7,2025,394,3157,7
fragment_009,sulfonyl_group,functional_group,core,1,80,,3233,586,3883,3,3233,586,3883,3,3233,586,3883,3
fragment_010,sulfinyl_group,functional_group,core,1,70,,30,9,30,1,30,9,30,1,30,9,30,1
fragment_011,nitrile,functional_group,core,1,50,,1789,368,3279,11,1789,368,3279,11,1789,368,3279,11
fragment_012,hydroxyl,functional_group,core,1,30,drop_if_anchor_covered_by_higher_priority,1958,472,3553,8,1958,472,3553,8,1740,414,3216,8
fragment_013,amine,functional_group,core,1,35,drop_if_anchor_covered_by_higher_priority,30832,4654,164231,22,6609,2895,8465,6,2478,572,3228,4
fragment_014,carbonyl,functional_group,core,1,20,drop_if_anchor_covered_by_higher_priority,44251,7098,129224,19,44251,7098,129224,19,10077,4261,12780,19
fragment_015,carboxylic_acid,functional_group,core,1,75,,226,63,337,2,226,63,337,2,226,63,337,2
fragment_016,four_membered_ring,ring_structure,core,1,60,,187,62,194,2,187,62,194,2,187,62,194,2
fragment_017,five_membered_aromatic_ring,aromatic_ring,core,1,50,,6299,1437,10013,6,6299,1437,10013,6,6299,1437,10013,6
fragment_018,five_membered_not_fully_aromatic_ring,ring_structure,core,1,50,,14117,2632,26410,9,14117,2632,26410,9,14117,2632,26410,9
fragment_019,six_membered_aromatic_ring,aromatic_ring,core,1,50,,41477,7557,161612,20,41477,7557,161612,20,41477,7557,161612,20
fragment_020,six_membered_not_fully_aromatic_ring,ring_structure,core,1,50,,3892,830,5788,8,3892,830,5788,8,3892,830,5788,8
fragment_021,alkenylene_linkage,mainchain_linker,core,1,50,,4497,809,11291,20,4497,809,7077,8,4497,809,7077,8
fragment_022,alkynylene_linkage,mainchain_linker,core,1,50,,509,82,955,6,509,82,955,6,509,82,955,6
fragment_023,secondary_amine_linker,linker,core,1,60,,20794,2560,42737,8,4389,2442,5320,6,4389,2442,5320,6
fragment_024,azo_linker,linker,core,1,50,,1719,282,2167,3,1719,282,2167,3,1719,282,2167,3
fragment_025,halogen_substituent,side_group,core,1,40,drop_if_core_atoms_covered_by_higher_priority,6461,1659,40627,36,6461,1659,40627,36,3188,948,15166,30
fragment_026,trifluoromethyl,side_group,core,1,80,,3950,931,8487,9,3950,931,8487,9,3950,931,8487,9
fragment_027,thiocarbonyl_group,functional_group,core,1,65,,763,199,898,2,763,199,898,2,763,199,898,2
fragment_028,nitrogen_oxygen_bond_motif,functional_group,core,1,55,,1422,272,2940,9,1422,272,2940,9,1422,272,2940,9
fragment_029,sulfanyl_or_thiol_group,functional_group,core,1,35,,4,1,8,2,4,1,8,2,4,1,8,2
fragment_030,silicon_center,inorganic_or_organometallic,core,1,60,,1594,497,3236,8,1594,497,3236,8,1594,497,3236,8
fragment_031,phosphorus_center,inorganic_or_organometallic,core,1,60,,1954,372,2552,7,1954,372,2552,7,1954,372,2552,7
