smiles,source_canonical_id,source_standardized_smiles
*#CC#CC(C)OC(=O)c1ccc(C(=O)OC(C)C#*)cc1,ru_000234,*C#CC#CC(C)OC(=O)c1ccc(C(=O)OC(*)C)cc1
*#CC#CCCC(=O)OCCN(CCOC(=O)CCC#*)c1ccc(/N=N/c2c(C)cc(/N=N/c3ccc(C#N)cc3)cc2C)cc1,ru_004639,*CCOC(=O)CCC#CC#CCCC(=O)OCCN(*)c1ccc(/N=N/c2c(C)cc(/N=N/c3ccc(C#N)cc3)cc2C)cc1
*#CC#CCCC(=O)OCCN(CCOC(=O)CCC#*)c1ccc([N+](=O)[O-])cc1,ru_003340,*CCC#CC#CCCC(=O)OCCN(CCOC(*)=O)c1ccc([N+](=O)[O-])cc1
*#CC#CCCCCCCCCC#*,ru_000235,*C#CC#CCCCCCCCC*
*#CC#CCCCCCCCCCOC(=O)C(=O)OCCCCCCCCCC#*,ru_003753,*CCCCCCCCCC#CC#CCCCCCCCCCOC(=O)C(=O)O*
*#CC#CCCCCCCCCCOC(=O)CCC(=O)OCCCCCCCCCC#*,ru_003754,*CCCCCCCCCC#CC#CCCCCCCCCCOC(=O)CCC(=O)O*
*#CC#CCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCC#*,ru_003755,*CCCCCCCCCC#CC#CCCCCCCCCCOC(=O)CCCCC(=O)O*
*#CC#CCCCCCCCCCOC(=O)CCCCCCC(=O)OCCCCCCCCCC#*,ru_003756,*CCCCCCCCCC#CC#CCCCCCCCCCOC(=O)CCCCCCC(=O)O*
*#CC#CCCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCCC#*,ru_003757,*CCCCCCCCCC#CC#CCCCCCCCCCOC(=O)CCCCCCCCC(=O)O*
*#CC#CCOC(=O)CCC(=O)OCC#*,ru_001717,*CC#CC#CCOC(=O)CCC(=O)O*
*#CC#CCOC(=O)CCCCC(=O)OCC#*,ru_001718,*CC#CC#CCOC(=O)CCCCC(=O)O*
*#CC#CCOC(=O)NCCCCCCNC(=O)OCC#*,ru_001719,*CC#CC#CCOC(=O)NCCCCCCNC(=O)O*
*#CC#CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)OCC#*)cc2)cc1,ru_001720,*CC#CC#CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1
*#CC#CCOC(=O)c1ccc(C(=O)OCC#*)cc1,ru_007264,*OCC#CC#CCOC(=O)c1ccc(C(*)=O)cc1
*#CC#CCOCCOCCOC(=O)NCCCCCCNC(=O)OCCOCCOCC#*,ru_004761,*CCOCCOCC#CC#CCOCCOCCOC(=O)NCCCCCCNC(=O)O*
*#CC#CCOc1ccc(-c2ccc(OCC#*)cc2)cc1,ru_001721,*CC#CC#CCOc1ccc(-c2ccc(O*)cc2)cc1
*#CC#CCOc1ccc(C(=O)OCCN(CCOC(=O)c2ccc(OCC#*)cc2)c2ccc(/N=N/c3ccc(/N=N/c4cc(C)c(C#N)c(C)c4)cc3)cc2)cc1,ru_004713,*CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN(*)c3ccc(/N=N/c4ccc(/N=N/c5cc(C)c(C#N)c(C)c5)cc4)cc3)cc2)cc1
*#CC#CCOc1ccc(C(=O)OCCN(CCOC(=O)c2ccc(OCC#*)cc2)c2ccc(/N=N/c3ccc(/N=N/c4cc(C)c([N+](=O)[O-])c(C)c4)cc3)cc2)cc1,ru_004714,*CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN(*)c3ccc(/N=N/c4ccc(/N=N/c5cc(C)c([N+](=O)[O-])c(C)c5)cc4)cc3)cc2)cc1
*#CC#CCOc1ccc(C(=O)OCCN(CCOC(=O)c2ccc(OCC#*)cc2)c2ccc(/N=N/c3ccc(C#N)cc3)cc2)cc1,ru_004715,*CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(=O)OCCN(*)c3ccc(/N=N/c4ccc(C#N)cc4)cc3)cc2)cc1
*#CC#CCOc1ccc(C(=O)OCCN(CCOC(=O)c2ccc(OCC#*)cc2)c2ccc(/N=N/c3ccc([N+](=O)[O-])cc3)cc2)cc1,ru_007602,*OCCN(CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(*)=O)cc2)cc1)c1ccc(/N=N/c2ccc([N+](=O)[O-])cc2)cc1
*#CC#CCOc1ccc(C(=O)OCCN(CCOC(=O)c2ccc(OCC#*)cc2)c2ccc([N+](=O)[O-])cc2)cc1,ru_007603,*OCCN(CCOC(=O)c1ccc(OCC#CC#CCOc2ccc(C(*)=O)cc2)cc1)c1ccc([N+](=O)[O-])cc1
*#CC#CCOc1ccc(C(C)(C)c2ccc(OCC#*)cc2)cc1,ru_001722,*CC#CC#CCOc1ccc(C(C)(C)c2ccc(O*)cc2)cc1
