match_count,fragment_number
1,576
2,325
3,194
4,193
5,111
6,96
7,83
8,77
9,37
10,51
11,37
12,47
13,31
14,38
15,23
16,21
17,26
18,24
19,20
20,23
21,21
22,17
23,10
24,15
25,12
26,6
27,19
28,12
29,10
30,13
31,12
32,10
33,17
34,5
35,6
36,15
37,6
38,6
39,11
40,7
41,2
42,19
43,9
44,7
45,8
46,14
47,5
48,5
49,10
50,9
51,7
52,3
53,7
54,5
55,1
56,8
57,6
58,3
59,3
60,4
61,5
62,5
63,5
64,3
65,6
66,3
67,4
68,4
69,5
70,4
71,2
72,1
73,1
74,3
75,4
76,1
77,1
78,4
79,1
80,2
81,11
82,5
83,1
84,8
86,1
88,2
89,3
90,3
91,2
92,7
93,4
94,4
95,2
96,1
97,3
98,4
99,1
100,3
101,3
102,2
103,3
104,3
105,3
106,4
107,2
109,1
110,3
111,1
112,1
114,3
117,3
118,2
120,2
121,1
122,4
123,3
124,1
125,2
126,3
127,2
128,2
129,1
130,1
131,1
132,2
133,2
134,2
135,2
136,1
137,1
138,1
139,1
140,1
141,3
142,2
144,2
145,2
148,2
151,2
152,2
153,3
154,1
155,1
156,2
158,1
160,2
161,2
162,3
164,1
165,1
167,1
169,2
170,2
171,2
172,1
174,4
175,2
177,2
178,1
185,2
186,4
187,1
191,1
192,2
195,1
196,2
197,2
198,1
199,1
200,1
201,1
202,2
203,1
204,2
205,1
206,1
207,2
208,1
209,1
212,3
213,1
220,1
221,1
222,1
223,2
224,1
227,1
229,2
234,1
237,1
238,1
243,1
248,2
249,1
251,2
258,1
259,1
260,1
263,1
264,1
265,1
267,2
268,1
269,1
270,1
271,1
274,2
279,1
288,3
294,1
295,1
299,1
303,2
306,1
309,1
312,1
320,1
325,1
326,1
330,2
336,2
339,1
340,1
343,1
347,1
354,1
358,1
367,1
373,1
374,2
380,1
384,1
385,1
387,3
388,1
394,1
395,1
396,2
398,1
403,2
412,1
414,1
418,2
429,1
441,1
453,1
459,1
463,1
468,1
476,1
483,1
489,1
491,1
495,1
515,1
518,1
521,1
540,1
554,1
569,1
573,1
578,1
607,2
632,1
636,1
638,1
641,1
642,1
648,1
655,1
663,1
674,1
702,1
739,1
755,1
784,1
785,1
788,1
797,1
822,1
826,1
842,1
870,1
873,1
884,1
913,1
930,1
933,1
946,1
948,1
956,1
960,1
973,1
980,1
983,1
989,2
990,1
1041,1
1042,1
1050,1
1053,1
1062,1
1063,1
1104,1
1107,1
1116,2
1156,2
1174,1
1177,1
1178,1
1183,2
1202,1
1247,2
1266,1
1307,1
1323,1
1338,1
1350,1
1354,1
1381,1
1397,1
1426,1
1447,1
1453,1
1485,1
1516,1
1599,1
1722,1
1738,1
1755,1
1760,1
1763,1
1775,1
1786,1
1808,1
1869,1
1891,2
1936,1
1942,1
2013,1
2073,1
2082,1
2117,1
2120,1
2150,1
2168,1
2199,1
2204,1
2277,1
2325,1
2326,1
2355,1
2364,1
2397,1
2408,1
2409,1
2494,1
2573,1
2590,1
2743,1
2751,2
2763,1
2884,1
2920,1
3071,1
3248,1
3527,1
3574,1
3606,1
4111,1
4315,1
4345,1
4411,1
4449,2
4636,2
4641,1
4825,1
5062,2
5086,1
5176,1
5223,1
5300,1
5815,1
5845,1
6408,1
6464,1
6532,1
6562,1
6923,2
7464,1
8098,1
8451,1
8693,1
8907,1
8936,1
8988,1
9984,1
10010,1
10371,1
10408,1
12199,2
12495,1
12708,1
13945,1
15024,1
16010,1
18851,1
19500,2
22626,1
24602,1
27383,1
32462,1
34709,1
37958,1
39008,1
49086,1
